Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
specialty_markers,sample,ptotinc,wkh,resdur_allyrs,n_pub_sn_match,pred_share_us_sn,pred_ptotinc,freq
Anesthesiology,NRMP; age4055,469.50,52.64,4.70,3.50,0.86,538.30,289000
Dermatology,NRMP; age4055,655.20,44.33,4.71,11.70,0.87,829.50,58000
Emergency Medicine,NRMP; age4055,345.20,45.14,3.86,3.30,0.96,602.10,260000
Family Medicine,NRMP; age4055,229.80,48.27,3.76,2.60,0.72,457.50,693000
Internal Medicine,NRMP; age4055,376.40,52.80,4.47,4.40,0.69,469.30,1208000
Neurological Surgery,NRMP; age4055,920.50,63.37,6.66,13.40,0.81,638.10,31500
Neurology,NRMP; age4055,292.50,53.98,5.97,5.10,0.53,205.00,11000
ObGyn,NRMP; age4055,390.10,55.57,4.76,4.20,0.85,415.40,225000
Orthopaedic Surgery,NRMP; age4055,788.60,57.71,5.85,8.20,0.90,667.10,138000
Otolaryngology,NRMP; age4055,553.80,54.08,5.76,8.40,0.91,488.20,53500
Pathology,NRMP; age4055,382.00,48.69,5.50,5.90,0.57,413.90,93500
Pediatrics,NRMP; age4055,272.40,46.96,4.64,3.40,0.80,420.50,394000
Physical Medicine and Rehabilitation,NRMP; age4055,306.90,47.26,4.90,3.90,0.56,423.00,64500
Plastic Surgery,NRMP; age4055,545.60,54.26,7.02,11.90,0.71,339.70,23000
Psychiatry,NRMP; age4055,255.10,46.86,4.89,3.70,0.65,377.90,317000
Radiation Oncology,NRMP; age4055,709.30,50.68,5.17,12.70,0.95,752.20,26500
Radiology,NRMP; age4055,545.40,50.18,5.78,4.90,0.75,528.00,206000
Surgery,NRMP; age4055,527.30,57.01,5.80,4.70,0.73,420.70,344000
Anesthesiology,NRMP; ageall,352.00,52.20,4.70,3.50,0.86,394.00,694000
Dermatology,NRMP; ageall,456.90,43.91,4.71,11.70,0.87,568.10,167000
Emergency Medicine,NRMP; ageall,252.90,45.04,3.86,3.30,0.95,413.70,724000
Family Medicine,NRMP; ageall,192.80,47.36,3.76,2.60,0.71,340.90,1796000
Internal Medicine,NRMP; ageall,290.90,52.53,4.47,4.40,0.69,346.70,3135000
Neurological Surgery,NRMP; ageall,623.50,63.55,6.66,13.40,0.82,434.50,80500
Neurology,NRMP; ageall,228.20,54.11,5.97,5.10,0.53,166.00,30000
ObGyn,NRMP; ageall,291.20,54.40,4.76,4.20,0.85,311.00,587000
Orthopaedic Surgery,NRMP; ageall,534.60,56.74,5.85,8.20,0.90,458.90,369000
Otolaryngology,NRMP; ageall,386.70,53.30,5.76,8.40,0.91,346.10,142000
Pathology,NRMP; ageall,314.90,48.33,5.50,5.90,0.57,334.10,231000
Pediatrics,NRMP; ageall,209.00,47.90,4.64,3.40,0.81,291.40,1061000
Physical Medicine and Rehabilitation,NRMP; ageall,221.20,46.10,4.90,3.90,0.56,300.90,158000
Plastic Surgery,NRMP; ageall,405.80,55.69,7.02,11.90,0.72,257.60,57000
Psychiatry,NRMP; ageall,215.00,46.41,4.89,3.70,0.65,293.10,838000
Radiation Oncology,NRMP; ageall,508.90,51.07,5.17,12.70,0.95,528.10,66000
Radiology,NRMP; ageall,405.80,49.79,5.78,4.90,0.75,393.60,525000
Surgery,NRMP; ageall,375.70,55.72,5.80,4.70,0.73,312.40,924000
Clinical Cardiac Electrophysiology,specialty_category; age4055,596.90,59.17,5.69,,,,14310
Addiction Medicine,specialty_category; age4055,292.10,48.02,5.38,,,,1521
Advanced Heart Failure and Transplant Cardiology,specialty_category; age4055,462.80,56.36,5.13,,,,1502
Allergy/ Immunology,specialty_category; age4055,410.80,45.01,5.30,,,,18380
Anesthesiology,specialty_category; age4055,458.90,52.73,4.69,,,,272700
Back Office,specialty_category; age4055,247.30,41.45,5.50,,,,803
Cardiac Surgery,specialty_category; age4055,607.30,66.20,7.17,,,,27070
Cardiovascular Disease (Cardiology),specialty_category; age4055,566.60,58.85,5.24,,,,110400
Colorectal Surgery (Proctology),specialty_category; age4055,458.00,62.73,6.52,,,,8176
Critical Care (Intensivists),specialty_category; age4055,378.70,57.18,4.84,,,,16480
Dermatology,specialty_category; age4055,655.20,44.33,4.71,,,,57810
Radiology,specialty_category; age4055,546.70,50.08,5.77,,,,189600
Electrodiagnostic Medicine,specialty_category; age4055,289.30,,,,,,59.16999817
Emergency Medicine,specialty_category; age4055,343.00,44.38,3.82,,,,243700
Endocrinology,specialty_category; age4055,279.50,49.05,5.22,,,,32850
Family Practice,specialty_category; age4055,230.10,48.55,3.73,,,,627000
Gastroenterology,specialty_category; age4055,594.70,55.06,5.42,,,,77850
General Practice,specialty_category; age4055,224.90,44.58,4.81,,,,35590
General Surgery,specialty_category; age4055,457.40,61.21,5.95,,,,146300
Genetics,specialty_category; age4055,236.30,51.73,5.56,,,,4399
Geriatric Medicine,specialty_category; age4055,258.60,49.24,4.70,,,,21160
Gynecological Oncology,specialty_category; age4055,571.60,60.76,6.55,,,,6518
Hand Surgery,specialty_category; age4055,650.40,54.22,6.54,,,,2927
Hematology,specialty_category; age4055,371.10,57.44,5.24,,,,3801
Hematology-Oncology,specialty_category; age4055,606.40,55.15,5.34,,,,52790
Hospice and Palliative Care,specialty_category; age4055,258.50,50.26,4.35,,,,4702
Hospitalist,specialty_category; age4055,285.70,53.82,3.58,,,,49800
Hypertension Specialist,specialty_category; age4055,346.40,50.00,,,,,102.5
Infectious Disease,specialty_category; age4055,292.50,52.70,5.41,,,,41940
Internal Medicine,specialty_category; age4055,278.40,50.00,3.99,,,,577000
Interventional Cardiology,specialty_category; age4055,682.20,60.81,5.36,,,,25490
Interventional Pain Management,specialty_category; age4055,702.60,49.68,5.18,,,,11430
Interventional Radiology,specialty_category; age4055,594.20,51.82,5.83,,,,12340
Maxillofacial Surgery,specialty_category; age4055,559.80,48.17,4.86,,,,3865
Medical Oncology,specialty_category; age4055,521.70,55.48,5.49,,,,18930
Nephrology,specialty_category; age4055,434.40,56.27,5.04,,,,50770
Neurology,specialty_category; age4055,272.40,54.58,6.15,,,,7703
