Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
var,varlab,xaxis,frac,mean,p1,sd,p5,p25,p50,p75,p95,p99
logptotinc,Log Annual Income,9.47,0.01,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,9.64,0.01,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,9.81,0.01,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,9.97,0.02,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.14,0.04,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.30,0.04,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.47,0.04,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.64,0.05,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.80,0.10,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,10.97,0.16,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.14,0.12,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.30,0.12,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.47,0.14,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.64,0.17,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.80,0.22,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,11.97,0.30,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.14,0.43,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.30,0.54,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.47,0.58,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.64,0.59,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.80,0.54,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,12.97,0.46,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.14,0.37,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.30,0.27,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.47,0.20,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.64,0.14,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.80,0.09,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,13.97,0.06,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,14.14,0.04,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
logptotinc,Log Annual Income,14.30,0.03,12.39,9.43,0.98,10.75,12.00,12.51,12.96,13.68,14.39
