Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
year,notadj_einsize1,adj_einsize1,notadj_einsize_missing,adj_einsize_missing,notadj_ptotinc,adj_ptotinc,notadj_top1,adj_top1
2005,0.26,0.26,0.02,0.02,254.40,304.70,0.17,0.21
2006,0.26,0.26,0.02,0.02,273.40,321.60,0.17,0.21
2007,0.25,0.25,0.02,0.02,270.60,316.40,0.19,0.23
2008,0.25,0.25,0.02,0.02,256.40,299.20,0.21,0.25
2009,0.24,0.25,0.02,0.02,268.30,307.30,0.26,0.29
2010,0.24,0.24,0.02,0.02,270.70,305.70,0.25,0.28
2011,0.23,0.23,0.02,0.02,278.70,309.00,0.25,0.27
2012,0.22,0.23,0.02,0.02,303.00,328.50,0.23,0.25
2013,0.22,0.22,0.02,0.02,292.30,312.40,0.24,0.25
2014,0.21,0.21,0.02,0.02,312.70,327.80,0.22,0.24
2015,0.21,0.21,0.02,0.02,325.50,335.60,0.23,0.24
2016,0.20,0.20,0.02,0.02,330.50,335.50,0.25,0.25
2017,0.20,0.20,0.02,0.02,350.00,350.00,0.24,0.24
