Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
agebin,restriction,ptotinc,income_acs,totw2comp,pftloss,profinc,wkh_imputed,schd_c,received_1099ssa
55,age >54; year=2017,,,,,,,,0.01
56,age >54; year=2017,,,,,,,,0.01
57,age >54; year=2017,,,,,,,,0.01
58,age >54; year=2017,,,,,,,,0.01
59,age >54; year=2017,,,,,,,,0.01
60,age >54; year=2017,,,,,,,,0.02
61,age >54; year=2017,,,,,,,,0.02
62,age >54; year=2017,,,,,,,,0.04
63,age >54; year=2017,,,,,,,,0.05
64,age >54; year=2017,,,,,,,,0.06
65,age >54; year=2017,,,,,,,,0.09
66,age >54; year=2017,,,,,,,,0.35
67,age >54; year=2017,,,,,,,,0.47
68,age >54; year=2017,,,,,,,,0.54
69,age >54; year=2017,,,,,,,,0.63
70,age >54; year=2017,,,,,,,,0.95
20,All ages; year=2017,36950,,23570,16280,39850,,0.15,
25,All ages; year=2017,60340,43590,55650,3050,58700,50.14,0.11,
30,All ages; year=2017,185300,129600,158000,15550,173500,53.32,0.24,
35,All ages; year=2017,301300,224900,250000,40980,291000,49.46,0.33,
40,All ages; year=2017,378600,267100,283400,70780,354200,48.30,0.39,
45,All ages; year=2017,408200,278300,286400,90230,376600,48.21,0.41,
50,All ages; year=2017,424600,286200,288700,99880,388600,49.15,0.43,
55,All ages; year=2017,426100,267500,280400,103200,383600,48.48,0.43,
60,All ages; year=2017,375700,250800,241100,106600,347700,44.69,0.44,
65,All ages; year=2017,318100,180400,170900,90010,261000,34.15,0.43,
70,All ages; year=2017,267700,137900,123200,66770,190000,28.07,0.40,
20,All ages; year=2017; observed in ACS,29560,,,,,,,
25,All ages; year=2017; observed in ACS,59100,43590,,,,,,
30,All ages; year=2017; observed in ACS,184600,129600,,,,,,
35,All ages; year=2017; observed in ACS,304900,224900,,,,,,
40,All ages; year=2017; observed in ACS,381100,267100,,,,,,
45,All ages; year=2017; observed in ACS,420000,278300,,,,,,
50,All ages; year=2017; observed in ACS,438000,286200,,,,,,
55,All ages; year=2017; observed in ACS,433500,267500,,,,,,
60,All ages; year=2017; observed in ACS,388100,250800,,,,,,
65,All ages; year=2017; observed in ACS,310800,180400,,,,,,
70,All ages; year=2017; observed in ACS,276000,137900,,,,,,
