Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
sample,depvar,count,no_unique_npi,n_phys_year,mean,median,stdev,share_sample,subpanel
year==2005-2017 & ages 20-70,No. Observations,,965000,11600000,,,,,1. Number of Observations
year==2017 & ages 20-70,No. Observations,,848000,848000,,,,,1. Number of Observations
year==2017 & ages 40-55,No. Observations,,350000,350000,,,,,1. Number of Observations
year==2017 & ages 56-70,No. Observations,,287000,287000,,,,,1. Number of Observations
year==2005-2017 & ages 20-70,Age,11600000,,,45.31,45,12.68,,2. Demographics
year==2017 & ages 20-70,Age,848000,,,49.28,49,11.56,,2. Demographics
year==2017 & ages 40-55,Age,350000,,,47.32,47,4.60,,2. Demographics
year==2017 & ages 56-70,Age,287000,,,62.56,62,4.19,,2. Demographics
year==2005-2017 & ages 20-70,Female,11600000,,,0.36,0,0.48,0.36,2. Demographics
year==2017 & ages 20-70,Female,848000,,,0.38,0,0.48,0.38,2. Demographics
year==2017 & ages 40-55,Female,350000,,,0.40,0,0.49,0.40,2. Demographics
year==2017 & ages 56-70,Female,287000,,,0.26,0,0.44,0.26,2. Demographics
year==2005-2017 & ages 20-70,Non-U.S.-Born,11600000,,,0.19,0,0.40,0.19,2. Demographics
year==2017 & ages 20-70,Non-U.S.-Born,848000,,,0.22,0,0.41,0.22,2. Demographics
year==2017 & ages 40-55,Non-U.S.-Born,350000,,,0.27,0,0.44,0.27,2. Demographics
year==2017 & ages 56-70,Non-U.S.-Born,287000,,,0.12,0,0.33,0.12,2. Demographics
year==2005-2017 & ages 20-70,Married,11100000,,,0.77,1,0.42,0.77,2. Demographics
year==2017 & ages 20-70,Married,817000,,,0.80,1,0.40,0.80,2. Demographics
year==2017 & ages 40-55,Married,336000,,,0.83,1,0.37,0.83,2. Demographics
year==2017 & ages 56-70,Married,274000,,,0.82,1,0.38,0.82,2. Demographics
year==2005-2017 & ages 20-70,Share Observed in ACS,11600000,,,0.20,0,0.40,0.20,2. Demographics
year==2017 & ages 20-70,Share Observed in ACS,848000,,,0.20,0,0.40,0.20,2. Demographics
year==2017 & ages 40-55,Share Observed in ACS,350000,,,0.20,0,0.40,0.20,2. Demographics
year==2017 & ages 56-70,Share Observed in ACS,287000,,,0.22,0,0.41,0.22,2. Demographics
year==2005-2017 & ages 20-70,Individual Total Wage (2017 \\$),11600000,,,201600,155700,945300,,3. Income
year==2017 & ages 20-70,Individual Total Wage (2017 \\$),848000,,,243400,209400,283000,,3. Income
year==2017 & ages 40-55,Individual Total Wage (2017 \\$),350000,,,286200,247700,260300,,3. Income
year==2017 & ages 56-70,Individual Total Wage (2017 \\$),287000,,,224900,188700,359400,,3. Income
