Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
panel,rownames,top1percent,top5percent,top10percent,top25percent,top50percent,top100percent
,Number of Unique Individuals,"3,500","17,500","35,000","87,500","175,000","350,000"
Income and Labor Supply,"Individual Total Income (\\$1,000);Mean","4,051","1,817","1,319",871,626,404
Income and Labor Supply,"Individual Total Income (\\$1,000);Median","2,739","1,280",960,652,472,309
Income and Labor Supply,"Individual Total Income (\\$1,000);Cutoff","1,937",960,719,472,309,-
Income and Labor Supply,"Wage Income (\\$1,000);Mean",897,737,654,524,417,286
Income and Labor Supply,"AGI (\\$1,000);Mean","4,465","1,993","1,448",964,708,502
Income and Labor Supply,"Business Income (\\$1,000);Mean","1,313",588,394,228,147,87
Income and Labor Supply,"Business Income (\\$1,000);Share $>$ \USD 25K",0.80,0.72,0.65,0.53,0.44,0.35
Income and Labor Supply,Median Share of Income from Business,0.28,0.20,0.13,0.05,0.02,0.00
Income and Labor Supply,Median Share of Income from Non-Labor,0.85,0.51,0.31,0.14,0.08,0.06
Income and Labor Supply,Median Share of Income from Labor,0.15,0.49,0.69,0.86,0.92,0.94
Income and Labor Supply,Mean Weekly Hours Worked,48,54,54,54,53,50
Income and Labor Supply,Retired (Based on 1099-SSA),0.002,0.001,0.001,0.001,0.001,0.004
Income and Labor Supply,Mean Firm Size,354,448,493,699,"1,091","1,536"
Specialties and MD Training,Graduated from Top-5 MD Program,0.10,0.08,0.07,0.07,0.06,0.06
Specialties and MD Training,Cardiology Share,0.02,0.04,0.05,0.05,0.03,0.02
Specialties and MD Training,Neurosurgery Share,0.06,0.05,0.04,0.02,0.01,0.01
Specialties and MD Training,General Surgery Share,0.03,0.03,0.04,0.05,0.05,0.03
Specialties and MD Training,Primary Care Share,0.16,0.12,0.12,0.15,0.24,0.42
Specialties and MD Training,Family Practice Share,0.03,0.03,0.03,0.04,0.07,0.14
Demographics,Mean Age,48,48,48,48,48,47
Demographics,Female,0.24,0.18,0.18,0.20,0.27,0.40
Demographics,Non-U.S.-Born,0.22,0.23,0.23,0.23,0.25,0.27
Demographics,Married,0.92,0.91,0.91,0.89,0.87,0.83
Demographics,Share in New York and New Jersey,0.20,0.14,0.12,0.10,0.10,0.10
Demographics,Share in California,0.11,0.09,0.09,0.10,0.12,0.12
Demographics,Share in Florida,0.10,0.08,0.08,0.07,0.06,0.07
Demographics,Share in Texas,0.11,0.11,0.10,0.09,0.08,0.08
Demographics,Share in Arizona,0.03,0.03,0.02,0.02,0.02,0.02
